shader,cs3,cs4,cs5,GLARE_ENABLED,GLARE_MAP_ENABLED,EMISSION_MAPPING_ENABLED,MULTI_UV2_MULTIPLICATIVE_BLENDING_ENANLED,ALPHA_TESTING_ENABLED,FAR_CLIP_BY_DITHER_ENABLED,MULTI_UV_MULTIPLICATIVE_BLENDING_ENANLED,NOTHING_ENABLED,MULTI_UV_GLARE_MAP_ENABLED,SPECULAR_ENABLED,ALPHA_BLENDING_ENABLED,WATER_SURFACE_ENABLED,NO_MAIN_LIGHT_SHADING_ENABLED,NORMAL_MAPPING_ENABLED,RECEIVE_SHADOWS_VITA,SPECULAR_MAPPING_ENABLED,FOR_SHADOW,CUBE_MAPPING_ENABLED,SUBTRACT_BLENDING_ENABLED,SPECULAR_COLOR_ENABLED,RIM_LIGHTING_ENABLED,SKINNING_ENABLED,MULTI_UV_ENANLED,NO_SSAO,BLEND_VERTEX_COLOR_BY_ALPHA_ENABLED,MULTI_UV2_ENANLED,WINDY_GRASS_TEXV_WEIGHT_ENABLED,MULTI_UV_SPECULAR_MAPPING_ENABLED,FAKE_CONSTANT_SPECULAR_ENABLED,RIM_TRANSPARENCY_ENABLED,DUDV_MAPPING_ENABLED,MULTIPLICATIVE_BLENDING_ENABLED,MULTI_UV_MULTIPLICATIVE_BLENDING_EX_ENANLED,NO_ALL_LIGHTING_ENABLED,MULTI_UV2_ADDITIVE_BLENDING_ENANLED,PROJECTION_MAP_ENABLED,TRANSPARENT_DELAY_ENABLED,CASTS_SHADOWS,MULTI_UV_NORMAL_MAPPING_ENABLED,DOUBLE_SIDED,MULTI_UV2_MULTIPLICATIVE_BLENDING_EX_ENANLED,VERTEX_COLOR_ENABLED,SPHERE_MAPPING_ENABLED,MULTI_UV_MULTIPLICATIVE_BLENDING_LM_ENANLED,WINDY_GRASS_ENABLED,HALF_LAMBERT_LIGHTING_ENABLED,FOR_EFFECT,NO_DYNAMIC_LIGHT,FOG_RATIO_ENABLED,MULTI_UV2_MULTIPLICATIVE_BLENDING_LM_ENANLED,FOG_ENABLED,MULTI_UV_ADDITIVE_BLENDING_ENANLED,CASTS_SHADOWS_VITA,ADDITIVE_BLENDING_ENABLED,SHADOW_COLOR_SHIFT_ENABLED,RECEIVE_SHADOWS
ed8_map.fx#02A50F472C75EA025B4F5AB6219DD664,None,M_V0010.pkg,M_V9000.pkg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ed8_map.fx#02A63AFC4588D2B1747C5D3A6E675DB7,None,None,E_EFDO013.pkg,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
ed8_map.fx#02AC887C1F6C38340B12537C32F72DA9,None,O_V98KAG02C.pkg,O_D20OBJ18.pkg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
ed8_map.fx#02C6AE7A563EBAE9569A286ACB926952,O_R34PLT01.pkg,O_E00EVT01.pkg,O_E00EVT01.pkg,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
ed8_map.fx#02C72C49EC0C26BE9CA2663DB6946D2C,None,O_T50KMO01R.pkg,O_T50KMO01R.pkg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ed8_map.fx#02C83B7D55D2A7AD834DED981E32FDBD,M_C0210.pkg,M_C1020.pkg,M_C0210.pkg,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ed8_map.fx#02D3359C9ED9CB3BE2DF84854F902FA4,M_T3020.pkg,M_T3021.pkg,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ed8_map.fx#02E60C42817D2657357380537369C112,None,None,O_I5001_T3.pkg,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ed8_map.fx#031D66E2A9D33735326AE4129F4CC59C,M_R2000.pkg,None,None,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ed8_map.fx#032EC73648CFC563FF96AA2EED602369,None,O_V98KAG03.pkg,O_D20OBJ11.pkg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
ed8_map.fx#0331B19F66247F022AF8EF75D2F5F416,None,None,O_D81ETC03.pkg,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
ed8_map.fx#0335DCBAF685B0127B98EF8B52819032,M_A2005.pkg,None,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
ed8_map.fx#0340BF3F49FD05A89E3C37CC3B2C57BA,M_T0000.pkg,M_T0000.pkg,M_T0000.pkg,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ed8_map.fx#03416342FD40F5BDB96818FE2C01F058,M_R3600.pkg,M_R3600.pkg,M_R3600.pkg,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ed8_map.fx#0342AB501078297FFB9884D69265254F,M_C0450.pkg,M_A0501.pkg,M_A0501.pkg,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ed8_map.fx#03622C0985BDC13E49DB378ABA894089,O_T32OBJ52.pkg,O_T32OBJ52.pkg,None,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
ed8_map.fx#038B5DAD9D06D562B039DD54F61E997C,None,O_M60OBJ05.pkg,None,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ed8_map.fx#03997F022DA8A5B17C2D376FC6E96BB5,O_T02HOU00.pkg,O_T02HOU00.pkg,O_T02HOU00.pkg,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
ed8_map.fx#03ACC7E364D9FA4DCCE567309E647F63,None,O_R00PLT00.pkg,M_E1400.pkg,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ed8_map.fx#03B875E100D858A9C1B8B4CCB279DDE0,O_T32PLT00.pkg,O_M60OBJ10.pkg,O_T32PLT00.pkg,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ed8_map.fx#03BF63DA97F5C933697741E5AF2459EB,None,M_M6080.pkg,M_M6080.pkg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed8_map.fx#03C0F425CE9CAB1D7F27833046E35E86,M_T3800.pkg,M_T3800.pkg,None,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ed8_map.fx#03DBCCD04EF869DE8C104AD6BE036F84,None,None,M_H2500.pkg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
