shader,cs1,cs2,cs3,cs4,cs5,CASTS_SHADOWS_VITA,LIGHTING_ENABLED,NO_MAIN_LIGHT_SHADING_ENABLED,MULTI_UV_SPECULAR_MAPPING_ENABLED,NO_ALL_LIGHTING_ENABLED,CUBE_MAPPING_ENABLED,MULTI_UV_ENANLED,USE_OUTLINE_COLOR,MULTI_UV_FACE_ENANLED,SPHERE_MAPPING_HAIRCUTICLE_ENABLED,SKINNING_ENABLED,WATER_SURFACE_ENABLED,GLARE_HIGHTPASS_ENABLED,MULTI_UV_TEXCOORD_OFFSET_ENABLED,CASTS_SHADOWS_ONLY,DURANTE_FORCE_PORTRAIT_PASS,FORCE_NO_PER_VERTEX_LIGHTING,NO_SSAO,PORTRAIT_GLASS_FIX,NORMAL_MAPP_DXT5_LP_ENABLED,GENERATE_RELFECTION_ENABLED,MULTI_UV2_MULTIPLICATIVE_BLENDING_ENANLED,MULTI_UV_OCCULUSION_MAPPING_ENABLED,FAKE_CONSTANT_SPECULAR_ENABLED,FAR_CLIP_BY_DITHER_ENABLED,MULTI_UV2_SPECULAR_MAPPING_ENABLED,MULTI_UV_NORMAL_MAPPING_ENABLED,NO_DYNAMIC_LIGHT,SUBTRACT_BLENDING_ENABLED,ALPHA_TESTING_ENABLED,WINDY_GRASS_ENABLED,MULTI_UV_MULTIPLICATIVE_BLENDING_EX_ENANLED,DUDV_MAPPING_ENABLED,EMISSION_MAPPING_ENABLED,TEXTURE_ENABLED,DOUBLE_SIDED,SHDOW_DOUBLE_SIDED,TRANSPARENT_DELAY_ENABLED,NOTHING_ENABLED,GLARE_MAP_ENABLED,NORMAL_MAPPING_ENABLED,PER_MATERIAL_MAIN_LIGHT_CLAMP_ENABLED,MULTI_UV2_TEXCOORD_OFFSET_ENABLED,FOG_ENABLED,USE_OUTLINE,MULTI_UV_SHADOW_ENANLED,MULTI_UV2_SHADOW_ENANLED,RIM_TRANSPARENCY_ENABLED,BLEND_VERTEX_COLOR_BY_ALPHA_ENABLED,HALF_LAMBERT_LIGHTING_ENABLED,ADDITIVE_BLENDING_ENABLED,TEXCOORD_OFFSET_ENABLED,SPHERE_MAPPING_ENABLED,RECEIVE_SHADOWS,CARTOON_SHADING_ENABLED,MULTI_UV_ADDITIVE_BLENDING_ENANLED,CARTOON_HILIGHT_ENABLED,UNDER_WATER_ONLY_ENABLED,MULTIPLEX_HEMISPHERE_AMBIENT_ENABLED,MULTI_UV2_MULTIPLICATIVE_BLENDING_LM_ENANLED,SPECULAR_COLOR_ENABLED,RECEIVE_SHADOWS_VITA,GLARE_ENABLED,VERTEX_COLOR_ENABLED,FOR_SHADOW,SPECULAR_MAPPING_ENABLED,SHADOW_COLOR_SHIFT_ENABLED,FORCE_CHAR_LIGHT_DIRECTION_ENABLED,LOCAL_MATERIAL_ENABLED,RIM_LIGHTING_ENABLED,MULTI_UV2_ENANLED,GLARE_EMISSION_ENABLED,CASTS_SHADOWS,PER_PIXEL_SPECULAR_ENABLED,TWOPASS_ALPHA_BLENDING_ENABLED,WINDY_GRASS_TEXV_WEIGHT_ENABLED,MULTI_UV2_MULTIPLICATIVE_BLENDING_EX_ENANLED,UNDER_WATER_ENABLED,MULTI_UV_MULTIPLICATIVE_BLENDING_LM_ENANLED,MULTI_UV_MULTIPLICATIVE_BLENDING_ENANLED,MULTI_UV2_ADDITIVE_BLENDING_ENANLED,OCCULUSION_MAPPING_ENABLED,MULTI_UV_GLARE_MAP_ENABLED,ALPHA_BLENDING_ENABLED,MULTIPLICATIVE_BLENDING_ENABLED,SPECULAR_ENABLED,MULTI_UV_NO_DIFFUSE_MAPPING_ENANLED,EMVMAP_AS_IBL_ENABLED,HEMISPHERE_AMBIENT_ENABLED,FOR_EFFECT,NORMAL_MAPP_DXT5_NM_ENABLED,PROJECTION_MAP_ENABLED,FOG_RATIO_ENABLED,UVA_SCRIPT_ENABLED
ed8.fx#00A0A89648D66B5C01F5C80D2E47B0BA,C_MON009.pkg,C_MON009.pkg,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ed8.fx#00A10A13B9F4DD9F76D4705C6006EA9F,None,O_S00SKY30.pkg,None,None,None,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ed8.fx#00AC729FD8F7F6DD768104077339FD89,None,C_NPC016_C14.pkg,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ed8.fx#00CEBF1258E71A88230ABB8A6AA9EE9A,None,M_BT6500.pkg,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ed8.fx#00E70E7667A4B50F063184729184F97D,C_MON002.pkg,C_MON002.pkg,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ed8.fx#00F0DE902B43C83042C8762C9E11CF5B,O_R08SMK00.pkg,O_R08SMK00.pkg,None,None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ed8.fx#011B011E5952321DED041A8630738255,O_T02EVT04.pkg,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ed8.fx#011F4ACB616A497F0558C7070C27B3D3,M_A1200.pkg,None,None,None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ed8.fx#0125A4F09C46DAF8CABE3D7B2780F6DD,None,C_PLY009_C89.pkg,None,None,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed8.fx#01265900352507DB91BEBBEE67C4B9B5,O_M25SWI00.pkg,O_M35DOR00.pkg,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ed8.fx#0160DADCAE8E93B446B5A81DBCE31DA4,M_C0100.pkg,M_T4040.pkg,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ed8.fx#016A8A67156516C0CD32DF9F6640807D,M_BT0000.pkg,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ed8.fx#016B644F7494AA99560241A73D4614C8,O_T55EVT01.pkg,None,None,None,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ed8.fx#0172F452275542E0AECCE99D5F211CF0,None,M_R0900.pkg,None,None,None,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ed8.fx#017F2E89473455D5A61F7B2CD28A10EF,C_MON101.pkg,C_MON101.pkg,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ed8.fx#01883DF7477DF04A1A26EFE9702DCFA5,None,M_M4560.pkg,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ed8.fx#019D3400E1954661C6FA2B756E9F213E,O_M30ETC17.pkg,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
ed8.fx#019F35BD1AF51C40C309DA771363F175,O_C06LIG05.pkg,E_EFOBJ134.pkg,None,None,None,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ed8.fx#01AE338DAD0B481E89FFC837617396B0,M_BA1200.pkg,None,None,None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed8.fx#01B0DBC707883A393ED273E99372D7ED,C_NPC053.pkg,None,None,None,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ed8.fx#01BE1553845E1EA4339D2B4A0608FAB4,None,C_PLY007_C89.pkg,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ed8.fx#01C1D3AD24C3070D24BA0E35A8953090,None,O_M40EVT16.pkg,None,None,None,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ed8.fx#01CDBF70AA454C325CAD39D7726D8778,None,C_NPC069.pkg,None,None,None,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ed8.fx#01D30E625201CDB25465514493434B60,C_NPC042_C00.pkg,C_NPC042_C00.pkg,None,None,None,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed8.fx#020BC1CC5E0E1428EB1BE258F428AC9B,None,M_M3520.pkg,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
ed8.fx#02263B4B21884446AF70E7C375AE0CE4,M_T3000.pkg,M_T3000.pkg,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed8.fx#0229C76AF8D83E03E5E521FB3D58F95C,None,M_T5701.pkg,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ed8.fx#0231F5DA043EC0B8E1DF5DFA17E87A07,M_C0410.pkg,M_BT5030.pkg,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ed8.fx#0240D65DD3BB4BDFCC3477BFE2BE9AE7,M_BM1010.pkg,M_R0300.pkg,None,None,None,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ed8.fx#028FF07F6D00FDD620471A67EC9062DA,M_T0201.pkg,None,None,None,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ed8.fx#0290089E639798361323FDEDF68C2FA7,M_R0030.pkg,M_R0000.pkg,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
